date,artist,total_streams
2017-02-24,The Chainsmokers,3771993
2017-02-24,Post Malone,1665284
2017-02-24,Drake,2329828
2017-02-25,Ed Sheeran,2103032
2017-02-25,The Chainsmokers,3325608
2017-02-25,Post Malone,1561058
2017-02-25,Drake,2295827
2017-02-26,Ed Sheeran,2065055
2017-02-26,The Chainsmokers,2901027
2017-02-26,Post Malone,1445324
2017-02-26,Drake,2353268
2017-02-27,Ed Sheeran,2365800
2017-02-27,The Chainsmokers,2947192
2017-02-27,Post Malone,1554144
2017-02-27,Drake,1995214
2017-02-28,Ed Sheeran,2342703
2017-02-28,The Chainsmokers,3055647
2017-02-28,Post Malone,1639514
2017-02-28,Drake,2095394
2017-03-01,Ed Sheeran,2503542
2017-03-01,The Chainsmokers,3226368
2017-03-01,Post Malone,1659935
2017-03-01,Drake,2112340
2017-03-02,Ed Sheeran,2348206
2017-03-02,The Chainsmokers,3271255
2017-03-02,Post Malone,1684028
2017-03-02,Drake,2136493
2017-03-03,Ed Sheeran,13189409
2017-03-03,The Chainsmokers,3066637
2017-03-03,Post Malone,1735677
2017-03-03,Drake,2220971
2017-03-04,Ed Sheeran,12836821
2017-03-04,The Chainsmokers,2792817
2017-03-04,Post Malone,1613409
2017-03-04,Drake,2195203
2017-03-05,Ed Sheeran,11605045
2017-03-05,The Chainsmokers,2477380
2017-03-05,Post Malone,1501301
2017-03-05,Drake,1977476
2017-03-06,Ed Sheeran,14201746
2017-03-06,The Chainsmokers,2777959
2017-03-06,Post Malone,1633526
2017-03-06,Drake,1923440
2017-03-07,Ed Sheeran,13546104
2017-03-07,The Chainsmokers,2843968
2017-03-07,Post Malone,1674463
2017-03-07,Drake,1999065
2017-03-08,Ed Sheeran,13038950
2017-03-08,The Chainsmokers,2828843
2017-03-08,Post Malone,1695222
2017-03-08,Drake,2035378
2017-03-09,Ed Sheeran,12252266
2017-03-09,The Chainsmokers,2823484
2017-03-09,Post Malone,1733371
2017-03-09,Drake,2076806
2017-03-10,Ed Sheeran,11132857
2017-03-10,Post Malone,1793064
2017-03-10,The Chainsmokers,2886638
2017-03-10,Drake,2170129
2017-03-11,Ed Sheeran,9128934
2017-03-11,Post Malone,1683427
2017-03-11,The Chainsmokers,2728468
2017-03-11,Drake,2188293
2017-03-12,Ed Sheeran,8258060
2017-03-12,Post Malone,1558933
2017-03-12,The Chainsmokers,2459091
2017-03-12,Drake,1977380
2017-03-13,Ed Sheeran,9333566
2017-03-13,Post Malone,1637449
2017-03-13,The Chainsmokers,2625724
2017-03-13,Drake,1901953
2017-03-14,Ed Sheeran,8402085
2017-03-14,Post Malone,1623584
2017-03-14,The Chainsmokers,2522255
2017-03-14,Drake,1897934
2017-03-15,Ed Sheeran,8194289
2017-03-15,Post Malone,1651184
2017-03-15,The Chainsmokers,2566101
2017-03-15,Drake,1920774
2017-03-16,Ed Sheeran,7928314
2017-03-16,Post Malone,1617856
2017-03-16,The Chainsmokers,2743411
2017-03-16,Drake,1909254
2017-03-17,Ed Sheeran,7836795
2017-03-17,Post Malone,1657781
2017-03-17,The Chainsmokers,2649865
2017-03-17,Drake,2003472
2017-03-18,Ed Sheeran,6625145
2017-03-18,Post Malone,1552521
2017-03-18,The Chainsmokers,2491850
2017-03-18,Drake,2068022
2017-03-19,Drake,39302445
2017-03-19,Ed Sheeran,6089413
2017-03-19,Post Malone,1435507
2017-03-19,The Chainsmokers,2293882
2017-03-20,Drake,39427789
2017-03-20,Ed Sheeran,6896909
2017-03-20,The Chainsmokers,2268123
2017-03-20,Post Malone,1495947
2017-03-21,Drake,35526974
2017-03-21,Ed Sheeran,6496117
2017-03-21,The Chainsmokers,2285314
2017-03-21,Post Malone,1546896
2017-03-22,Drake,30839893
2017-03-22,Ed Sheeran,6305782
2017-03-22,Post Malone,1567254
2017-03-22,The Chainsmokers,2256285
2017-03-23,Drake,27169209
2017-03-23,Ed Sheeran,6170575
2017-03-23,Post Malone,1579891
2017-03-23,The Chainsmokers,2245386
2017-03-24,Drake,23101509
2017-03-24,Ed Sheeran,6079422
2017-03-24,Post Malone,1642171
2017-03-24,The Chainsmokers,2360017
2017-03-25,Drake,18902063
2017-03-25,Ed Sheeran,4896315
2017-03-25,Post Malone,1570292
2017-03-25,The Chainsmokers,2217300
2017-03-26,Drake,15927941
2017-03-26,Ed Sheeran,4704802
2017-03-26,Post Malone,1441691
2017-03-26,The Chainsmokers,1979399
2017-03-27,Drake,17419832
2017-03-27,Ed Sheeran,5788503
2017-03-27,Post Malone,1551898
2017-03-27,The Chainsmokers,2214412
2017-03-28,Drake,16745041
2017-03-28,Ed Sheeran,5359194
2017-03-28,Post Malone,1592715
2017-03-28,The Chainsmokers,2854453
2017-03-29,Drake,15828278
2017-03-29,Ed Sheeran,5228884
2017-03-29,Post Malone,1622661
2017-03-29,The Chainsmokers,2592211
2017-03-30,Drake,15036489
2017-03-30,Ed Sheeran,5081269
2017-03-30,Post Malone,1620479
2017-03-30,The Chainsmokers,2740143
2017-03-31,Drake,14505052
2017-03-31,Ed Sheeran,4278564
2017-03-31,Post Malone,1488137
2017-03-31,The Chainsmokers,2946446
2017-04-01,Drake,12865631
2017-04-01,Ed Sheeran,3436616
2017-04-01,Post Malone,1400673
2017-04-01,The Chainsmokers,2802765
2017-04-02,Drake,11559341
2017-04-02,Ed Sheeran,3499639
2017-04-02,Post Malone,1299656
2017-04-02,The Chainsmokers,2341341
2017-04-03,Drake,12167516
2017-04-03,Ed Sheeran,3870995
2017-04-03,Post Malone,1380305
2017-04-03,The Chainsmokers,2845714
2017-04-04,Drake,11921879
2017-04-04,Ed Sheeran,3641065
2017-04-04,Post Malone,1399488
2017-04-04,The Chainsmokers,2758437
2017-04-05,Drake,11548989
2017-04-05,Ed Sheeran,3351957
2017-04-05,Post Malone,1394778
2017-04-05,The Chainsmokers,2694844
2017-04-06,Drake,11210457
2017-04-06,Ed Sheeran,3273695
2017-04-06,Post Malone,1398661
2017-04-06,The Chainsmokers,2660784
2017-04-07,Drake,11254747
2017-04-07,Ed Sheeran,2913339
2017-04-07,The Chainsmokers,8496769
2017-04-07,Post Malone,1447111
2017-04-08,Drake,10579387
2017-04-08,Ed Sheeran,2649639
2017-04-08,The Chainsmokers,7025390
2017-04-08,Post Malone,1388281
2017-04-09,Drake,9522926
2017-04-09,Ed Sheeran,2466209
2017-04-09,The Chainsmokers,5683080
2017-04-09,Post Malone,1279216
2017-04-10,Drake,9894517
2017-04-10,Ed Sheeran,2740628
2017-04-10,The Chainsmokers,6696537
2017-04-10,Post Malone,1346899
2017-04-11,Drake,9753521
2017-04-11,Ed Sheeran,2707219
2017-04-11,The Chainsmokers,6274224
2017-04-11,Post Malone,1356588
2017-04-12,Drake,9503043
2017-04-12,Ed Sheeran,2668557
2017-04-12,The Chainsmokers,5762401
2017-04-12,Post Malone,1396323
2017-04-13,Drake,9519874
2017-04-13,Ed Sheeran,2695475
2017-04-13,The Chainsmokers,5468590
2017-04-13,Post Malone,1442278
2017-04-14,Drake,8532604
2017-04-14,Ed Sheeran,2697678
2017-04-14,The Chainsmokers,4584767
2017-04-14,Post Malone,1428827
2017-04-15,Drake,7485264
2017-04-15,Ed Sheeran,2390463
2017-04-15,Post Malone,1333641
2017-04-15,The Chainsmokers,3361487
2017-04-16,Drake,6707181
2017-04-16,Ed Sheeran,2188441
2017-04-16,Post Malone,1226990
2017-04-16,The Chainsmokers,2666447
2017-04-17,Drake,7072838
2017-04-17,Ed Sheeran,2452863
2017-04-17,The Chainsmokers,3782566
2017-04-17,Post Malone,1333971
2017-04-18,Drake,7206464
2017-04-18,Ed Sheeran,2467875
2017-04-18,Post Malone,1548707
2017-04-18,The Chainsmokers,3604184
2017-04-19,Drake,7049700
2017-04-19,Ed Sheeran,2397245
2017-04-19,Post Malone,1403713
2017-04-19,The Chainsmokers,2967344
2017-04-20,Drake,6909126
2017-04-20,Ed Sheeran,2378312
2017-04-20,Post Malone,1452571
2017-04-20,The Chainsmokers,2910415
2017-04-21,Drake,7327259
2017-04-21,Ed Sheeran,2215697
2017-04-21,Post Malone,1487727
2017-04-21,The Chainsmokers,2936445
2017-04-22,Drake,6919726
2017-04-22,Ed Sheeran,2046553
2017-04-22,Post Malone,1403537
2017-04-22,The Chainsmokers,2684343
2017-04-23,Drake,6252130
2017-04-23,Ed Sheeran,1930597
2017-04-23,Post Malone,1297085
2017-04-23,The Chainsmokers,2458489
2017-04-24,Drake,6442967
2017-04-24,Ed Sheeran,2289184
2017-04-24,Post Malone,1374243
2017-04-24,The Chainsmokers,2714149
2017-04-25,Drake,6502247
2017-04-25,Ed Sheeran,2318039
2017-04-25,Post Malone,1406493
2017-04-25,The Chainsmokers,2734311
2017-04-26,Drake,6520139
2017-04-26,Ed Sheeran,2278244
2017-04-26,Post Malone,1359787
2017-04-26,The Chainsmokers,2682178
2017-04-27,Drake,6700407
2017-04-27,Ed Sheeran,2063594
2017-04-27,Post Malone,1368871
2017-04-27,The Chainsmokers,2648545
2017-04-28,Drake,5649122
2017-04-28,Ed Sheeran,1866474
2017-04-28,Post Malone,1378960
2017-04-28,The Chainsmokers,2696645
2017-04-29,Drake,5549960
2017-04-29,Ed Sheeran,1745685
2017-04-29,Post Malone,1300766
2017-04-29,The Chainsmokers,2497558
2017-04-30,Drake,5314857
2017-04-30,Ed Sheeran,1739511
2017-04-30,Post Malone,1189602
2017-04-30,The Chainsmokers,2276300
2017-05-01,Drake,5072962
2017-05-01,Ed Sheeran,1851556
2017-05-01,Post Malone,1258576
2017-05-01,The Chainsmokers,2496065
2017-05-02,Drake,5272833
2017-05-02,Ed Sheeran,1858761
2017-05-02,Post Malone,1321441
2017-05-02,The Chainsmokers,2505651
2017-05-03,Drake,5460704
2017-05-03,Ed Sheeran,1861140
2017-05-03,Post Malone,1330128
2017-05-03,The Chainsmokers,2483499
2017-05-04,Drake,5661231
2017-05-04,Ed Sheeran,1874301
2017-05-04,Post Malone,1350550
2017-05-04,The Chainsmokers,2432650
2017-05-05,Drake,5005709
2017-05-05,Ed Sheeran,1700881
2017-05-05,Post Malone,1372642
2017-05-05,The Chainsmokers,2440276
2017-05-06,Drake,5136843
2017-05-06,Ed Sheeran,1614680
2017-05-06,Post Malone,1305455
2017-05-06,The Chainsmokers,2283417
2017-05-07,Drake,4606876
2017-05-07,Ed Sheeran,1493532
2017-05-07,Post Malone,1193623
2017-05-07,The Chainsmokers,2085586
2017-05-08,Drake,4532790
2017-05-08,Post Malone,1483775
2017-05-08,Ed Sheeran,1781981
2017-05-08,The Chainsmokers,2283628
2017-05-09,Post Malone,1864524
2017-05-09,Drake,4717692
2017-05-09,Ed Sheeran,1790358
2017-05-09,The Chainsmokers,2320304
2017-05-10,Post Malone,1920125
2017-05-10,Drake,4701971
2017-05-10,Ed Sheeran,1598147
2017-05-10,The Chainsmokers,2266684
2017-05-11,Post Malone,1906524
2017-05-11,Drake,4691231
2017-05-11,Ed Sheeran,1604015
2017-05-11,The Chainsmokers,2280057
2017-05-12,Post Malone,1731625
2017-05-12,Drake,4671489
2017-05-12,Ed Sheeran,1618630
2017-05-12,The Chainsmokers,2312370
2017-05-13,Post Malone,1622631
2017-05-13,Drake,4815427
2017-05-13,Ed Sheeran,1530320
2017-05-13,The Chainsmokers,2163429
2017-05-14,Post Malone,1459355
2017-05-14,Drake,4311490
2017-05-14,Ed Sheeran,1410589
2017-05-14,The Chainsmokers,1939893
2017-05-15,Post Malone,1562719
2017-05-15,Drake,4418060
2017-05-15,Ed Sheeran,1511392
2017-05-15,The Chainsmokers,2153784
