mean_streams,date,track_name
1060426,2019-01-29,SICKO MODE
293791,2019-01-29,STARGAZING
1038512,2019-01-30,SICKO MODE
286422,2019-01-30,STARGAZING
1025783,2019-01-31,SICKO MODE
283963,2019-01-31,STARGAZING
1080999,2019-02-01,SICKO MODE
295602,2019-02-01,STARGAZING
1086492,2019-02-02,SICKO MODE
277368,2019-02-02,STARGAZING
1008264,2019-02-03,SICKO MODE
260240,2019-02-03,STARGAZING
1185294,2019-02-04,SICKO MODE
289590,2019-02-04,STARGAZING
1174910,2019-02-05,SICKO MODE
298450,2019-02-05,STARGAZING
1123296,2019-02-06,SICKO MODE
291582,2019-02-06,STARGAZING
1093556,2019-02-07,SICKO MODE
290773,2019-02-07,STARGAZING
1115304,2019-02-08,SICKO MODE
293108,2019-02-08,STARGAZING
1082238,2019-02-09,SICKO MODE
266093,2019-02-09,STARGAZING
955319,2019-02-10,SICKO MODE
241736,2019-02-10,STARGAZING
975050,2019-02-11,SICKO MODE
260467,2019-02-11,STARGAZING
993353,2019-02-12,SICKO MODE
245222,2019-02-12,STARGAZING
958147,2019-02-13,SICKO MODE
240946,2019-02-13,STARGAZING
957400,2019-02-14,SICKO MODE
242837,2019-02-14,STARGAZING
