"","Artist","not","Fri_Sat","ratio"
"485","Carpenters",339591,245918.5,0.724160828761657
"486","Mabel",358774,255481,0.71209452189958
"487","Ray Parker, Jr.",327457.5,225615.5,0.688991701213135
"488","Beyoncé",231349,151581,0.655204906872301
"489","The Pogues",377901.5,237611,0.628764373785232

"490","Gwen Stefani",437297,264130,0.604005973057213
"491","Nat King Cole Trio",397578.5,227558,0.572359923889245
"492","Kay Starr",423928.5,225949.5,0.532989643300698
"493","Chris Rea",407689,214294,0.525631057006689
"494","Lou Monte",426724,217701,0.510168164902841
"495","$uicideBoy$",NA,247359,NA
"496","2Pac",NA,214596,NA
"497","A-Trak",NA,209745,NA
"498","Alicia Keys",274538,NA,NA
"499","alt-J",NA,226783,NA
"500","Andrew McMahon in the Wilderness",NA,164012,NA
"501","at Wendys",NA,200679,NA
"502","August Alsina",NA,149475,NA
"503","Austyn Johnson",188664,NA,NA
"504","Backstreet Boys",328634,NA,NA
"505","Baka Not Nice",192497,NA,NA
"506","Beck",NA,218038,NA
"507","Bee Gees",192352.5,NA,NA
"508","Ben Howard",184687,NA,NA
"509","Ben Platt",216313,NA,NA
"510","Blue Öyster Cult",373148,NA,NA
"511","Bobby ""Boris"" Pickett",252440.5,NA,NA
"512","Bobby ""Boris"" Pickett & The Crypt-Kickers",265774,NA,NA
"513","Bobby McFerrin",151217,NA,NA
"514","Bon Iver",217118,NA,NA
"515","Bonnie Tyler",302026,NA,NA
"516","Boogie",NA,254881,NA
"517","BØRNS",NA,199295,NA
"518","Bradley Cooper",196709,NA,NA
"519","Brantley Gilbert",171566,NA,NA
"520","Bring Me The Horizon",NA,266449.5,NA
"521","BURNS",NA,237548,NA
"522","Calum Scott",198073,NA,NA
"523","Carlie Hanson",200958,NA,NA
"524","Céline Dion",337702,NA,NA
"525","Chelsea Cutler",NA,238791,NA
"526","Chris Cornell",211539,NA,NA
"527","Christina Perri",204036,NA,NA
"528","CHVRCHES",NA,270705.5,NA
"529","Cooliecut",333504,NA,NA
"530","Corey",306127,NA,NA
"531","Creedence Clearwater Revival",200872,NA,NA
"532","Darlene Love",336830,NA,NA
"533","Dead Or Alive",200815,NA,NA
"534","Death Cab for Cutie",NA,243419,NA
"535","DeJ Loaf",152420,NA,NA
"536","Dexys Midnight Runners",194508,NA,NA
"537","Dimitri Vegas & Like Mike",NA,169975,NA
"538","Disney Characters",364572,NA,NA
"539","DJ Jazzy Jeff & The Fresh Prince",321896.5,NA,NA
"540","DJDS",NA,202109,NA
"541","DMX",216793,NA,NA
"542","Donny Hathaway",449977.5,NA,NA
"543","Dropkick Murphys",NA,269741.5,NA
"544","Duran Duran",223313,NA,NA
"545","Earl Sweatshirt",NA,349669,NA
"546","Echosmith",NA,182666,NA
"547","Electric Light Orchestra",181751.5,NA,NA
"548","Ella Fitzgerald",398011.5,NA,NA
"549","Elton John",355957,NA,NA
"550","Emma Stone",160750,NA,NA
"551","Fabolous",NA,232011,NA
"552","Farruko",NA,197352,NA
"553","Fleetwood Mac",170393,NA,NA
"554","Florence + The Machine",NA,269479.5,NA
"555","Flyboy Tarantino",248926.5,NA,NA
"556","Foo Fighters",NA,248172,NA
"557","Francis and the Lights",NA,205836.5,NA
"558","Friyie",173792,NA,NA
"559","fun.",194870,NA,NA
"560","George Ezra",212318.5,NA,NA
"561","Glee Cast",227479,NA,NA
"562","Good Gas",NA,220281.5,NA
"563","Guns N' Roses",154748,NA,NA
"564","Hannah Kerr",290059,NA,NA
"565","Hayley Kiyoko",NA,308065,NA
"566","Hazers",NA,191964,NA
"567","ILoveMakonnen",NA,264594,NA
"568","Jack Johnson",176804,NA,NA
"569","James Hersey",151410,NA,NA
"570","Jeezy",NA,353941,NA
"571","Jessie J",352788,NA,NA
"572","John Carpenter",314999,NA,NA
"573","John Denver",390496,NA,NA
"574","Johnny Mathis",366906.5,NA,NA
"575","Jordan Smith",295015,NA,NA
"576","Kacey Musgraves",266986,NA,NA
"577","Kelsea Ballerini",NA,205964,NA
"578","Keys N Krates",NA,238573,NA
"579","Kid Trunks",290598,NA,NA
"580","Kyle Dixon & Michael Stein",189260,NA,NA
"581","Kylie Minogue",388062,NA,NA
"582","La La Land Cast",158246,NA,NA
"583","Lauren Jauregui",NA,227493,NA
"584","Len",268821,NA,NA
"585","Lennon Stella",223864,NA,NA
"586","Leona Lewis",373994,NA,NA
"587","Life of Dillon",NA,189064,NA
"588","Lin-Manuel Miranda",NA,299656,NA
"589","Little Big Town",179386,NA,NA
"590","Lost Kings",NA,229640,NA
"591","Lynyrd Skynyrd",283109,NA,NA
"592","M.I.A.",210494,NA,NA
"593","M83",257703,NA,NA
"594","Macklemore & Ryan Lewis",233171,NA,NA
"595","Maggie Rogers",NA,304699,NA
"596","Majid Jordan",NA,216310,NA
"597","mansionz",NA,166943,NA
"598","Maren Morris",NA,362731,NA
"599","Marilyn Manson",392688,NA,NA
"600","Marvin Gaye",247540,NA,NA
"601","MC Ty",166659,NA,NA
"602","Mobb Deep",250045,NA,NA
"603","Moneybagg Yo",NA,271983.5,NA
"604","Muse",NA,228934,NA
"605","Natalie Cole",240694,NA,NA
"606","Nico & Vinz",275642,NA,NA
"607","Nina Nesbitt",350647.5,NA,NA
"608","Noah Schnacky",202775,NA,NA
"609","Norah Jones",286140,NA,NA
"610","O.T. Genasis",163667,NA,NA
"611","Oasis",175467.5,NA,NA
"612","OMI",311212,NA,NA
"613","Otis Redding",154347,NA,NA
"614","OutKast",248069,NA,NA
"615","Passenger",181086.5,NA,NA
"616","Paul Simon",183669,NA,NA
"617","Paulo Londra",218187,NA,NA
"618","Peggy Lee",422026,NA,NA
"619","Phil Collins",143813,NA,NA
"620","Phoenix",NA,262198,NA
"621","Prince",167194.5,NA,NA
"622","Queen Naija",NA,229463,NA
"623","Red Hot Chili Peppers",207181,NA,NA
"624","Red Velvet",NA,236400,NA
"625","Redbone",177297,NA,NA
