date,streams,position,mean_streams,max_position
2019-02-04,293450,112,262418,164
2019-02-04,231385,164,262418,164
2019-02-05,306113,115,265296,194
2019-02-05,224478,194,265296,194
2019-02-06,307167,113,263454,200
2019-02-06,219741,200,263454,200
2019-02-07,310434,112,310434,112
2019-02-08,310050,124,274904,200
2019-02-08,239758,200,274904,200
2019-02-09,280909,124,280909,124
2019-02-10,266926,119,259145,130
2019-02-10,251364,130,259145,130
2019-02-11,312001,111,296400,131
2019-02-11,280798,131,296400,131
2019-02-12,333156,104,309934,129
2019-02-12,286712,129,309934,129
2019-02-13,328450,107,308578,129
2019-02-13,288705,129,308578,129
2019-02-14,325549,113,308544,136
2019-02-14,291539,136,308544,136
2019-01-01,301907,93,301907,93
2019-01-02,326477,81,326477,81
2019-01-03,336147,85,336147,85
2019-01-04,342081,85,342081,85
2019-01-05,325712,81,325712,81
2019-01-06,311923,78,311923,78
2019-01-07,341703,79,341703,79
2019-01-08,345542,83,345542,83
2019-01-09,351898,81,351898,81
2019-01-10,361399,79,361399,79
2019-01-11,368419,88,368419,88
2019-01-12,340479,84,340479,84
2019-01-13,321451,81,321451,81
2019-01-14,346778,83,346778,83
2019-01-15,352762,87,352762,87
2019-01-16,370250,80,370250,80
2019-01-17,370700,82,370700,82
2019-01-18,369082,103,369082,103
2019-01-19,329465,101,329465,101
2019-01-20,304750,88,304750,88
2019-01-21,312962,90,312962,90
2019-01-22,326461,102,326461,102
2019-01-23,366114,94,366114,94
2019-01-24,358067,95,358067,95
2019-01-25,354592,102,354592,102
2019-01-26,327029,102,327029,102
2019-01-27,305709,97,305709,97
2019-01-28,320904,105,320904,105
2019-01-29,324317,105,324317,105
2019-01-30,321302,105,321302,105
2019-01-31,320094,110,320094,110
2019-02-01,416128,75,373198,115
2019-02-01,330268,115,373198,115
2019-02-02,305965,112,279464,151
2019-02-02,252962,151,279464,151
2019-02-03,287532,113,287532,113
2019-02-04,293450,112,262418,164
2019-02-04,231385,164,262418,164
2019-02-05,306113,115,265296,194
2019-02-05,224478,194,265296,194
2019-02-06,307167,113,263454,200
2019-02-06,219741,200,263454,200
2019-02-07,310434,112,310434,112
2019-02-08,310050,124,274904,200
2019-02-08,239758,200,274904,200
2019-02-09,280909,124,280909,124
2019-02-10,266926,119,259145,130
2019-02-10,251364,130,259145,130
2019-02-11,312001,111,296400,131
2019-02-11,280798,131,296400,131
2019-02-12,333156,104,309934,129
2019-02-12,286712,129,309934,129
2019-02-13,328450,107,308578,129
2019-02-13,288705,129,308578,129
2019-02-14,325549,113,308544,136
2019-02-14,291539,136,308544,136
